Gender,Height,Weight
male,65.78331,112.9925
female,71.51521,136.4873
female,69.39874,153.0269
female,68.2166,142.3354
male,67.78781,144.2971
male,68.69784,123.3024
male,69.80204,141.4947
female,70.01472,136.4623
male,67.90265,112.3723
female,66.78236,120.6672
male,66.48769,127.4516
female,67.62333,114.143
male,68.30248,125.6107
female,67.11656,122.4618
female,68.27967,116.0866
female,71.0916,139.9975
male,66.461,129.5023
male,68.64927,142.9733
male,71.23033,137.9025
female,67.13118,124.0449
male,67.83379,141.2807
female,68.87881,143.5392
male,63.48115,97.90191
female,68.42187,129.5027
male,67.62804,141.8501
female,67.20864,129.7244
female,70.84235,142.4235
female,67.49434,131.5502
male,66.53401,108.3324
male,65.44098,113.8922
male,69.5233,103.3016
female,65.8132,120.7536
male,67.8163,125.7886
female,70.59505,136.2225
male,71.80484,140.1015
female,69.20613,128.7487
male,66.80368,141.7994
female,67.65893,121.2319
female,67.80701,131.3478
female,64.04535,106.7115
male,68.57463,124.3598
male,65.18357,124.8591
male,69.65814,139.6711
female,67.96731,137.3696
male,65.98088,106.4499
female,68.67249,128.7639
male,66.88088,145.6837
female,67.69868,116.819
male,69.82117,143.6215
female,69.08817,134.9325
female,69.91479,147.0219
female,67.33182,126.3285
male,70.26939,125.4839
male,69.10344,115.7084
male,65.38356,123.4892
female,70.18447,147.8926
male,70.40617,155.8987
female,66.54376,128.0742
male,66.36418,119.3701
female,67.537,133.8148
male,66.50418,128.7325
female,68.99958,137.5453
female,68.30355,129.7604
female,67.01255,128.824
male,70.80592,135.3165
male,68.21951,109.6113
male,69.05914,142.4684
female,67.73103,132.749
male,67.21568,103.5275
female,67.36763,124.7299
male,65.27033,129.3137
female,70.84278,134.0175
male,69.92442,140.3969
female,64.28508,102.8351
female,68.2452,128.5214
female,66.35708,120.2991
male,68.36275,138.6036
male,65.4769,132.9574
male,69.71947,115.6233
female,67.72554,122.524
male,68.63941,134.6254
female,66.78405,121.8986
male,70.05147,155.3767
female,66.27848,128.9418
male,69.20198,129.1013
female,69.13481,139.4733
